,level_0,index,YearStart,QTarget,Latitude,Longitude,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q15,Q17,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q32,Q33,Q34,Q39,Q43,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q70,Hispanic,Black,Male,Overall,White,Female
47,25.0,25.0,2021.0,43.3,33.99882,-81.04537,53.1,97.5,63.8,65.0,31.4,32.6,5.3,24.0,76.0,5.4,15.0,42.8,29.8,37.4,50.5,30.9,32.4,36.3,41.7,9.2,37.8,90.8,37.7,83.1,7.5,13.7,73.5,60.9,41.2,5.1,27.7,25.0,36.1,70.5,13.7,17.2,3.1,4.1,15.5,0.0,0.0,0.0,1.0,0.0,0.0
48,61.0,61.0,2021.0,38.4,41.70828,-71.52247,59.9,97.7,58.5,77.0,33.2,24.6,5.0,20.0,80.0,3.4,12.8,36.0,31.6,40.4,54.2,25.3,32.3,30.4,32.9,15.0,30.6,94.2,32.8,83.9,5.7,10.0,66.2,61.3,58.0,5.1,37.8,26.7,29.2,60.0,5.1,14.2,2.7,3.6,11.3,0.0,0.0,0.0,0.0,0.0,1.0
49,81.0,81.0,2021.0,38.0,44.35313,-100.37353,49.4,98.1,58.5,74.5,35.6,31.6,2.6,14.7,85.3,3.7,14.8,39.3,27.3,34.5,58.3,24.6,37.3,21.2,39.5,10.8,28.0,89.7,34.6,85.4,6.2,9.7,73.5,69.8,56.5,4.3,30.1,23.9,37.0,68.2,8.0,12.7,2.0,3.0,14.6,0.0,0.0,0.0,0.0,0.0,1.0
50,339.0,339.0,2017.0,46.9,41.56266,-72.64984,45.2,99.6,77.0,56.3,39.6,41.9,4.2,40.7,59.3,2.9,12.6,55.6,18.7,29.6,41.6,41.6,41.6,45.0,48.2,10.7,36.1,93.1,27.1,75.9,5.3,15.0,76.9,68.0,43.1,3.1,28.0,29.8,35.5,71.0,11.6,17.8,2.0,2.6,15.0,0.0,1.0,0.0,0.0,0.0,0.0
51,443.0,443.0,2017.0,50.2,47.06653,-109.42442,42.3,93.9,54.9,56.2,30.2,25.9,5.0,22.9,77.1,5.1,25.9,55.6,23.8,29.8,44.5,30.1,33.0,20.9,47.0,7.3,33.5,84.3,28.8,68.1,6.2,7.9,70.7,62.0,35.7,3.1,28.3,26.6,27.2,70.5,15.3,15.9,2.3,3.8,17.5,0.0,0.0,1.0,0.0,0.0,0.0
52,243.0,243.0,2021.0,47.1,38.90719,-77.03687,48.8,98.3,72.9,63.5,38.1,31.6,4.4,28.5,71.5,6.2,14.4,45.5,24.7,35.0,42.5,40.4,36.1,47.1,45.3,14.4,40.9,92.9,32.0,78.7,7.8,13.7,78.4,55.4,40.3,5.3,31.3,25.7,35.9,67.5,3.8,23.9,2.9,3.4,15.5,0.0,1.0,0.0,0.0,0.0,0.0
53,568.0,568.0,2017.0,50.1,47.52228,-120.47001,46.6,95.9,60.6,45.4,39.2,41.1,5.9,45.5,54.5,3.5,17.6,59.4,11.4,18.3,29.6,54.9,24.0,30.9,52.0,7.8,19.0,84.9,22.5,63.8,2.7,11.4,57.9,53.8,35.7,3.7,28.2,26.9,33.1,70.4,37.5,26.3,2.0,3.2,11.2,1.0,0.0,0.0,0.0,0.0,0.0
54,562.0,562.0,2017.0,36.5,39.3607,-111.58713,31.7,98.3,66.2,55.1,31.9,33.36666666666667,5.0,40.3,59.7,4.1,14.2,47.4,10.6,16.9,26.9,42.9,37.8,31.4,38.0,5.9,20.6,80.7,24.1,58.3,2.9,7.7,63.0,63.8,31.6,3.3,30.7,30.5,27.9,67.2,37.8,24.5,2.1,3.2,11.9,1.0,0.0,0.0,0.0,0.0,0.0
55,584.0,584.0,2017.0,37.8,44.39319,-89.81637,49.7,96.6,56.8,53.3,28.0,28.5,5.1,19.5,80.5,4.2,23.6,51.0,27.1,37.9,52.2,28.7,27.9,24.7,41.0,9.4,31.9,90.1,34.3,76.3,5.3,8.4,72.2,64.8,38.4,3.7,31.6,21.4,31.3,67.2,6.7,15.0,2.5,4.1,16.1,0.0,0.0,0.0,0.0,1.0,0.0
56,439.0,439.0,2017.0,46.4,35.46622,-79.15925,49.2,96.0,65.3,66.4,34.5,30.4,5.8,26.2,73.8,3.8,15.4,56.4,24.4,35.0,46.0,38.6,35.6,36.8,54.2,9.2,34.8,90.6,33.6,80.0,7.8,11.4,76.4,69.0,45.1,4.1,31.3,25.5,32.1,66.9,18.6,19.1,2.7,4.1,17.2,0.0,0.0,0.0,1.0,0.0,0.0
